Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
30,POP2 Algorithm,22,0.18150568008422852,0.0
31,POP2 Algorithm,22,0.1880478858947754,0.0
32,POP2 Algorithm,22,0.18673062324523926,0.0
33,POP2 Algorithm,22,0.18295717239379883,0.0
34,POP2 Algorithm,22,0.1861121654510498,0.0
35,POP2 Algorithm,22,0.18201160430908203,0.0
36,POP2 Algorithm,22,0.18735480308532715,0.0
37,POP2 Algorithm,22,0.18067336082458496,0.0
38,POP2 Algorithm,22,0.1842188835144043,0.0
39,POP2 Algorithm,22,0.1892070770263672,0.0
40,POP2 Algorithm,22,0.1880176067352295,0.0
41,POP2 Algorithm,21,0.18579578399658203,0.0
42,POP2 Algorithm,22,0.18176603317260742,0.0
43,POP2 Algorithm,22,0.18636536598205566,0.0
44,POP2 Algorithm,22,0.18617534637451172,0.0
45,POP2 Algorithm,22,0.18478822708129883,0.0
46,POP2 Algorithm,22,0.1870715618133545,0.0
47,POP2 Algorithm,22,0.18008852005004883,0.0
48,POP2 Algorithm,22,0.18613171577453613,0.0
49,POP2 Algorithm,22,0.1813347339630127,0.0
50,POP2 Algorithm,22,0.18500995635986328,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,26,0.0003566741943359375,0.0
Worst,Greedy Coloring,26,0.0009279251098632812,0.0
Best,DSATUR Coloring,23,0.0021381378173828125,0.0
Worst,DSATUR Coloring,23,0.002720355987548828,0.0
Best,Genetic Algorithm,22,0.09131407737731934,0.0
Worst,Genetic Algorithm,25,0.09107732772827148,0.0
Best,POP2 Algorithm,21,0.18579578399658203,0.0
Worst,POP2 Algorithm,22,0.19659113883972168,0.0
Average,Greedy Coloring,26.0,0.0004,0.0
Average,DSATUR Coloring,23.0,0.0024,0.0
Average,Genetic Algorithm,23.62,0.0914,0.0042
Average,POP2 Algorithm,21.98,0.185,0.0037
End,File: DSJC125.5.col,---,---,---
Header,File: DSJC125.9.col,,,
1,Greedy Coloring,56,0.0007452964782714844,0.0
2,Greedy Coloring,56,0.0007047653198242188,0.0
3,Greedy Coloring,56,0.0007042884826660156,0.0
4,Greedy Coloring,56,0.0007452964782714844,0.0
5,Greedy Coloring,56,0.0007309913635253906,0.0
6,Greedy Coloring,56,0.0007402896881103516,0.0
7,Greedy Coloring,56,0.0007574558258056641,0.0
8,Greedy Coloring,56,0.0007410049438476562,0.0
9,Greedy Coloring,56,0.0007255077362060547,0.0
10,Greedy Coloring,56,0.0007219314575195312,0.0
11,Greedy Coloring,56,0.0007336139678955078,0.0
12,Greedy Coloring,56,0.0007319450378417969,0.0
13,Greedy Coloring,56,0.0007398128509521484,0.0
14,Greedy Coloring,56,0.000698089599609375,0.0
15,Greedy Coloring,56,0.0007481575012207031,0.0
16,Greedy Coloring,56,0.0006403923034667969,0.0
17,Greedy Coloring,56,0.0007693767547607422,0.0
18,Greedy Coloring,56,0.0007538795471191406,0.0
19,Greedy Coloring,56,0.0007398128509521484,0.0
20,Greedy Coloring,56,0.0007493495941162109,0.0
21,Greedy Coloring,56,0.0006139278411865234,0.0
22,Greedy Coloring,56,0.0007648468017578125,0.0
23,Greedy Coloring,56,0.0007083415985107422,0.0
24,Greedy Coloring,56,0.0007312297821044922,0.0
25,Greedy Coloring,56,0.0007326602935791016,0.0
26,Greedy Coloring,56,0.0007412433624267578,0.0
27,Greedy Coloring,56,0.0007607936859130859,0.0
28,Greedy Coloring,56,0.0007419586181640625,0.0
29,Greedy Coloring,56,0.0007729530334472656,0.0
30,Greedy Coloring,56,0.0007772445678710938,0.0
31,Greedy Coloring,56,0.0007293224334716797,0.0
32,Greedy Coloring,56,0.0007612705230712891,0.0
33,Greedy Coloring,56,0.0005838871002197266,0.0
34,Greedy Coloring,56,0.0007328987121582031,0.0
35,Greedy Coloring,56,0.0007524490356445312,0.0
36,Greedy Coloring,56,0.0005962848663330078,0.0
37,Greedy Coloring,56,0.0007545948028564453,0.0
38,Greedy Coloring,56,0.0007281303405761719,0.0
39,Greedy Coloring,56,0.0006957054138183594,0.0
40,Greedy Coloring,56,0.0007584095001220703,0.0
41,Greedy Coloring,56,0.0006098747253417969,0.0
42,Greedy Coloring,56,0.0007393360137939453,0.0
43,Greedy Coloring,56,0.0007576942443847656,0.0
44,Greedy Coloring,56,0.0005810260772705078,0.0
45,Greedy Coloring,56,0.0007402896881103516,0.0
46,Greedy Coloring,56,0.0007271766662597656,0.0
47,Greedy Coloring,56,0.0007534027099609375,0.0
48,Greedy Coloring,56,0.0007495880126953125,0.0
49,Greedy Coloring,56,0.0009734630584716797,0.0
50,Greedy Coloring,56,0.0006706714630126953,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,53,0.0027053356170654297,0.0
2,DSATUR Coloring,53,0.0028200149536132812,0.0
3,DSATUR Coloring,53,0.002853870391845703,0.0
4,DSATUR Coloring,53,0.0029294490814208984,0.0
5,DSATUR Coloring,53,0.0027132034301757812,0.0
6,DSATUR Coloring,53,0.002946615219116211,0.0
7,DSATUR Coloring,53,0.0028302669525146484,0.0
8,DSATUR Coloring,53,0.002777099609375,0.0
9,DSATUR Coloring,53,0.0029168128967285156,0.0
10,DSATUR Coloring,53,0.002786397933959961,0.0
11,DSATUR Coloring,53,0.0028612613677978516,0.0
12,DSATUR Coloring,53,0.002794504165649414,0.0
13,DSATUR Coloring,53,0.002950906753540039,0.0
14,DSATUR Coloring,53,0.0028781890869140625,0.0
15,DSATUR Coloring,53,0.0027980804443359375,0.0
16,DSATUR Coloring,53,0.00293731689453125,0.0
17,DSATUR Coloring,53,0.0026848316192626953,0.0
18,DSATUR Coloring,53,0.002694368362426758,0.0
19,DSATUR Coloring,53,0.0029578208923339844,0.0
20,DSATUR Coloring,53,0.0029082298278808594,0.0
21,DSATUR Coloring,53,0.002803325653076172,0.0
22,DSATUR Coloring,53,0.0028715133666992188,0.0
23,DSATUR Coloring,53,0.0028922557830810547,0.0
24,DSATUR Coloring,53,0.0028302669525146484,0.0
25,DSATUR Coloring,53,0.0029311180114746094,0.0
26,DSATUR Coloring,53,0.002988576889038086,0.0
27,DSATUR Coloring,53,0.0028607845306396484,0.0
28,DSATUR Coloring,53,0.0029599666595458984,0.0
29,DSATUR Coloring,53,0.0028803348541259766,0.0
30,DSATUR Coloring,53,0.002802133560180664,0.0
31,DSATUR Coloring,53,0.002863645553588867,0.0
32,DSATUR Coloring,53,0.002897977828979492,0.0
33,DSATUR Coloring,53,0.0027697086334228516,0.0
34,DSATUR Coloring,53,0.002803325653076172,0.0
35,DSATUR Coloring,53,0.0029668807983398438,0.0
36,DSATUR Coloring,53,0.002875089645385742,0.0
37,DSATUR Coloring,53,0.0027916431427001953,0.0
38,DSATUR Coloring,53,0.0028378963470458984,0.0
39,DSATUR Coloring,53,0.0030126571655273438,0.0
40,DSATUR Coloring,53,0.0029680728912353516,0.0
41,DSATUR Coloring,53,0.002876758575439453,0.0
42,DSATUR Coloring,53,0.0027742385864257812,0.0
43,DSATUR Coloring,53,0.003207683563232422,0.0
44,DSATUR Coloring,53,0.0027594566345214844,0.0
45,DSATUR Coloring,53,0.005438327789306641,0.0
46,DSATUR Coloring,53,0.002796649932861328,0.0
47,DSATUR Coloring,53,0.0028710365295410156,0.0
48,DSATUR Coloring,53,0.0028209686279296875,0.0
49,DSATUR Coloring,53,0.0027420520782470703,0.0
50,DSATUR Coloring,53,0.0030019283294677734,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,37,0.1347484588623047,0.0
2,Genetic Algorithm,38,0.11531710624694824,0.0
3,Genetic Algorithm,38,0.11505651473999023,0.0
4,Genetic Algorithm,36,0.11449503898620605,0.0
5,Genetic Algorithm,34,0.11388468742370605,0.0
6,Genetic Algorithm,38,0.11407732963562012,0.0
7,Genetic Algorithm,38,0.11692357063293457,0.0
8,Genetic Algorithm,35,0.11504077911376953,0.0
9,Genetic Algorithm,36,0.11629652976989746,0.0
10,Genetic Algorithm,34,0.11414813995361328,0.0
11,Genetic Algorithm,38,0.11475229263305664,0.0
12,Genetic Algorithm,34,0.11568617820739746,0.0
13,Genetic Algorithm,36,0.11542797088623047,0.0
14,Genetic Algorithm,33,0.11479878425598145,0.0
15,Genetic Algorithm,35,0.1144094467163086,0.0
16,Genetic Algorithm,34,0.11407208442687988,0.0
17,Genetic Algorithm,37,0.11522865295410156,0.0
18,Genetic Algorithm,34,0.1150963306427002,0.0
19,Genetic Algorithm,39,0.11577725410461426,0.0
20,Genetic Algorithm,32,0.1181178092956543,0.0
21,Genetic Algorithm,35,0.11651825904846191,0.0
22,Genetic Algorithm,33,0.11518192291259766,0.0
23,Genetic Algorithm,32,0.11606907844543457,0.0
24,Genetic Algorithm,35,0.11485600471496582,0.0
25,Genetic Algorithm,34,0.11491274833679199,0.0
26,Genetic Algorithm,37,0.1143639087677002,0.0
27,Genetic Algorithm,36,0.11527562141418457,0.0
28,Genetic Algorithm,36,0.1147608757019043,0.0
29,Genetic Algorithm,37,0.1149444580078125,0.0
30,Genetic Algorithm,34,0.11415338516235352,0.0
31,Genetic Algorithm,35,0.1151585578918457,0.0
32,Genetic Algorithm,35,0.11489558219909668,0.0
33,Genetic Algorithm,34,0.1146996021270752,0.0
34,Genetic Algorithm,34,0.11399984359741211,0.0
35,Genetic Algorithm,38,0.11500787734985352,0.0
36,Genetic Algorithm,34,0.11481380462646484,0.0
37,Genetic Algorithm,36,0.11429405212402344,0.0
38,Genetic Algorithm,34,0.11613035202026367,0.0
39,Genetic Algorithm,33,0.1149601936340332,0.0
40,Genetic Algorithm,32,0.11448788642883301,0.0
41,Genetic Algorithm,36,0.11430239677429199,0.0
42,Genetic Algorithm,35,0.11392045021057129,0.0
43,Genetic Algorithm,35,0.11581754684448242,0.0
44,Genetic Algorithm,36,0.13700366020202637,0.0
45,Genetic Algorithm,34,0.11505293846130371,0.0
46,Genetic Algorithm,35,0.11825799942016602,0.0
47,Genetic Algorithm,33,0.11463570594787598,0.0
48,Genetic Algorithm,32,0.11541414260864258,0.0
49,Genetic Algorithm,33,0.11480927467346191,0.0
50,Genetic Algorithm,33,0.11484146118164062,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,51,0.35655713081359863,0.0625
2,POP2 Algorithm,51,0.3552861213684082,0.0
3,POP2 Algorithm,51,0.356536865234375,0.0
4,POP2 Algorithm,51,0.3554108142852783,0.0
5,POP2 Algorithm,51,0.35756492614746094,0.0
6,POP2 Algorithm,51,0.3550870418548584,0.0
7,POP2 Algorithm,51,0.35295677185058594,0.0
8,POP2 Algorithm,51,0.3617973327636719,0.0
9,POP2 Algorithm,51,0.35930848121643066,0.0
10,POP2 Algorithm,51,0.35436034202575684,0.0
11,POP2 Algorithm,51,0.35652971267700195,0.0
12,POP2 Algorithm,51,0.36122918128967285,0.0
13,POP2 Algorithm,51,0.36607885360717773,0.0
14,POP2 Algorithm,51,0.35331177711486816,0.0
15,POP2 Algorithm,51,0.35472774505615234,0.0
16,POP2 Algorithm,51,0.35515475273132324,0.0
17,POP2 Algorithm,51,0.3536069393157959,0.0
18,POP2 Algorithm,51,0.3537631034851074,0.0
19,POP2 Algorithm,51,0.3563508987426758,0.0
20,POP2 Algorithm,51,0.35585951805114746,0.0
21,POP2 Algorithm,51,0.35480761528015137,0.0
22,POP2 Algorithm,51,0.35858964920043945,0.0
23,POP2 Algorithm,51,0.35752272605895996,0.0
24,POP2 Algorithm,51,0.35297513008117676,0.0
25,POP2 Algorithm,51,0.35720157623291016,0.0
26,POP2 Algorithm,51,0.36484551429748535,0.0
27,POP2 Algorithm,51,0.38840484619140625,0.0
28,POP2 Algorithm,51,0.3607921600341797,0.0
29,POP2 Algorithm,51,0.3570139408111572,0.0
30,POP2 Algorithm,51,0.3572089672088623,0.0
31,POP2 Algorithm,51,0.35829949378967285,0.0
32,POP2 Algorithm,51,0.3547072410583496,0.0
33,POP2 Algorithm,51,0.40070629119873047,0.0
34,POP2 Algorithm,51,0.354095458984375,0.0
35,POP2 Algorithm,51,0.35959839820861816,0.0
36,POP2 Algorithm,51,0.400118350982666,0.0
37,POP2 Algorithm,51,0.35582518577575684,0.0
38,POP2 Algorithm,51,0.3567068576812744,0.0
39,POP2 Algorithm,51,0.35616087913513184,0.0
40,POP2 Algorithm,51,0.3531153202056885,0.0
41,POP2 Algorithm,51,0.3557119369506836,0.0
42,POP2 Algorithm,51,0.35628700256347656,0.0
43,POP2 Algorithm,51,0.3524281978607178,0.0
44,POP2 Algorithm,51,0.3573465347290039,0.0
45,POP2 Algorithm,51,0.358384370803833,0.0
46,POP2 Algorithm,51,0.3553149700164795,0.0
47,POP2 Algorithm,51,0.360166072845459,0.0
48,POP2 Algorithm,51,0.3537020683288574,0.0
49,POP2 Algorithm,51,0.3610849380493164,0.0
50,POP2 Algorithm,51,0.3563413619995117,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,56,0.0005810260772705078,0.0
Worst,Greedy Coloring,56,0.0009734630584716797,0.0
Best,DSATUR Coloring,53,0.0026848316192626953,0.0
Worst,DSATUR Coloring,53,0.005438327789306641,0.0
Best,Genetic Algorithm,32,0.11448788642883301,0.0
Worst,Genetic Algorithm,39,0.11577725410461426,0.0
Best,POP2 Algorithm,51,0.3524281978607178,0.0
Worst,POP2 Algorithm,51,0.40070629119873047,0.0
Average,Greedy Coloring,56.0,0.0007,0.0
Average,DSATUR Coloring,53.0,0.0029,0.0
Average,Genetic Algorithm,35.04,0.1159,0.0
Average,POP2 Algorithm,51.0,0.3591,0.0013
End,File: DSJC125.9.col,---,---,---
Header,File: DSJC250.1.col,,,
1,Greedy Coloring,13,0.0006418228149414062,0.0
2,Greedy Coloring,13,0.0005514621734619141,0.0
3,Greedy Coloring,13,0.000518798828125,0.0
4,Greedy Coloring,13,0.0005211830139160156,0.0
5,Greedy Coloring,13,0.00047898292541503906,0.0
6,Greedy Coloring,13,0.0005311965942382812,0.0
7,Greedy Coloring,13,0.0004169940948486328,0.0
8,Greedy Coloring,13,0.0005540847778320312,0.0
9,Greedy Coloring,13,0.0005214214324951172,0.0
10,Greedy Coloring,13,0.0005598068237304688,0.0
11,Greedy Coloring,13,0.0005846023559570312,0.0
12,Greedy Coloring,13,0.00040793418884277344,0.0
13,Greedy Coloring,13,0.0005338191986083984,0.0
14,Greedy Coloring,13,0.0005519390106201172,0.0
15,Greedy Coloring,13,0.0005004405975341797,0.0
16,Greedy Coloring,13,0.0005271434783935547,0.0
17,Greedy Coloring,13,0.0007309913635253906,0.0
18,Greedy Coloring,13,0.00046563148498535156,0.0
19,Greedy Coloring,13,0.0005223751068115234,0.0
20,Greedy Coloring,13,0.0005056858062744141,0.0
21,Greedy Coloring,13,0.0005412101745605469,0.0
22,Greedy Coloring,13,0.0005767345428466797,0.0
23,Greedy Coloring,13,0.0005121231079101562,0.0
24,Greedy Coloring,13,0.0005300045013427734,0.0
25,Greedy Coloring,13,0.0005176067352294922,0.0
26,Greedy Coloring,13,0.0005152225494384766,0.0
27,Greedy Coloring,13,0.0005261898040771484,0.0
28,Greedy Coloring,13,0.0005407333374023438,0.0
29,Greedy Coloring,13,0.0005083084106445312,0.0
30,Greedy Coloring,13,0.0005178451538085938,0.0
31,Greedy Coloring,13,0.0005316734313964844,0.0
32,Greedy Coloring,13,0.0005662441253662109,0.0
33,Greedy Coloring,13,0.0005347728729248047,0.0
34,Greedy Coloring,13,0.0005259513854980469,0.0
35,Greedy Coloring,13,0.0005185604095458984,0.0
36,Greedy Coloring,13,0.0004220008850097656,0.0
37,Greedy Coloring,13,0.0004115104675292969,0.0
38,Greedy Coloring,13,0.0005295276641845703,0.0
39,Greedy Coloring,13,0.0005557537078857422,0.0
40,Greedy Coloring,13,0.0005283355712890625,0.0
41,Greedy Coloring,13,0.0006392002105712891,0.0
42,Greedy Coloring,13,0.0005185604095458984,0.0
43,Greedy Coloring,13,0.0005426406860351562,0.0
44,Greedy Coloring,13,0.0005211830139160156,0.0
45,Greedy Coloring,13,0.0005276203155517578,0.0
46,Greedy Coloring,13,0.0006327629089355469,0.0
47,Greedy Coloring,13,0.0005202293395996094,0.0
48,Greedy Coloring,13,0.0005314350128173828,0.0
49,Greedy Coloring,13,0.0005702972412109375,0.0
50,Greedy Coloring,13,0.0005261898040771484,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,11,0.006971597671508789,0.0
2,DSATUR Coloring,11,0.006623744964599609,0.0
3,DSATUR Coloring,11,0.006567716598510742,0.0
4,DSATUR Coloring,11,0.0065991878509521484,0.0
5,DSATUR Coloring,11,0.006474971771240234,0.0
6,DSATUR Coloring,11,0.006308078765869141,0.0
7,DSATUR Coloring,11,0.0065195560455322266,0.0
8,DSATUR Coloring,11,0.0065157413482666016,0.0
9,DSATUR Coloring,11,0.006446123123168945,0.0
10,DSATUR Coloring,11,0.006567955017089844,0.0
11,DSATUR Coloring,11,0.006525278091430664,0.0
12,DSATUR Coloring,11,0.006666660308837891,0.0
13,DSATUR Coloring,11,0.0065784454345703125,0.0
14,DSATUR Coloring,11,0.006601572036743164,0.0
15,DSATUR Coloring,11,0.006602764129638672,0.0
16,DSATUR Coloring,11,0.006560087203979492,0.0
17,DSATUR Coloring,11,0.006678342819213867,0.0
18,DSATUR Coloring,11,0.006699800491333008,0.0
19,DSATUR Coloring,11,0.0066661834716796875,0.0
20,DSATUR Coloring,11,0.006429433822631836,0.0
21,DSATUR Coloring,11,0.006478786468505859,0.0
22,DSATUR Coloring,11,0.006563663482666016,0.0
23,DSATUR Coloring,11,0.006387948989868164,0.0
24,DSATUR Coloring,11,0.006413936614990234,0.0
25,DSATUR Coloring,11,0.011003971099853516,0.0
26,DSATUR Coloring,11,0.006517887115478516,0.0
27,DSATUR Coloring,11,0.0065538883209228516,0.0
28,DSATUR Coloring,11,0.006571769714355469,0.0
29,DSATUR Coloring,11,0.006658077239990234,0.0
30,DSATUR Coloring,11,0.006546974182128906,0.0
31,DSATUR Coloring,11,0.0065593719482421875,0.0
32,DSATUR Coloring,11,0.006655216217041016,0.0
33,DSATUR Coloring,11,0.006434917449951172,0.0
34,DSATUR Coloring,11,0.0067021846771240234,0.0
35,DSATUR Coloring,11,0.006567955017089844,0.0
36,DSATUR Coloring,11,0.00663304328918457,0.0
37,DSATUR Coloring,11,0.006678104400634766,0.0
38,DSATUR Coloring,11,0.006685495376586914,0.0
39,DSATUR Coloring,11,0.006451845169067383,0.0
40,DSATUR Coloring,11,0.006487846374511719,0.0
41,DSATUR Coloring,11,0.0065004825592041016,0.0
42,DSATUR Coloring,11,0.006456851959228516,0.0
43,DSATUR Coloring,11,0.00654292106628418,0.0
44,DSATUR Coloring,11,0.006484270095825195,0.0
45,DSATUR Coloring,11,0.006465911865234375,0.0
46,DSATUR Coloring,11,0.0065419673919677734,0.0
47,DSATUR Coloring,11,0.0063440799713134766,0.0
48,DSATUR Coloring,11,0.006500959396362305,0.0
49,DSATUR Coloring,11,0.006473541259765625,0.0
50,DSATUR Coloring,11,0.006532907485961914,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,12,0.11864995956420898,0.05859375
2,Genetic Algorithm,12,0.12091183662414551,0.0
3,Genetic Algorithm,12,0.11871838569641113,0.0
4,Genetic Algorithm,12,0.11902594566345215,0.0
5,Genetic Algorithm,13,0.11938238143920898,0.0
6,Genetic Algorithm,12,0.1224985122680664,0.0
7,Genetic Algorithm,13,0.11989140510559082,0.0
8,Genetic Algorithm,13,0.11854076385498047,0.0
9,Genetic Algorithm,12,0.11961936950683594,0.0
10,Genetic Algorithm,13,0.11878514289855957,0.0
11,Genetic Algorithm,13,0.11868524551391602,0.0
12,Genetic Algorithm,12,0.11846184730529785,0.0
13,Genetic Algorithm,12,0.11893129348754883,0.0
14,Genetic Algorithm,12,0.11803483963012695,0.0
15,Genetic Algorithm,13,0.11805224418640137,0.0
16,Genetic Algorithm,12,0.11863517761230469,0.0
17,Genetic Algorithm,12,0.11800646781921387,0.0
18,Genetic Algorithm,12,0.11819934844970703,0.0
19,Genetic Algorithm,13,0.11873412132263184,0.0
20,Genetic Algorithm,12,0.11940932273864746,0.0
21,Genetic Algorithm,12,0.11890482902526855,0.0
22,Genetic Algorithm,12,0.11881542205810547,0.0
23,Genetic Algorithm,12,0.1190328598022461,0.0
24,Genetic Algorithm,12,0.11963629722595215,0.0
25,Genetic Algorithm,12,0.1193091869354248,0.0
26,Genetic Algorithm,12,0.11824560165405273,0.0
27,Genetic Algorithm,12,0.11972260475158691,0.0
28,Genetic Algorithm,12,0.11860489845275879,0.0
29,Genetic Algorithm,13,0.11843323707580566,0.0
30,Genetic Algorithm,12,0.11960935592651367,0.0
31,Genetic Algorithm,12,0.1191549301147461,0.0
32,Genetic Algorithm,12,0.11832737922668457,0.0
33,Genetic Algorithm,12,0.11873841285705566,0.0390625
34,Genetic Algorithm,12,0.11839652061462402,0.0
35,Genetic Algorithm,13,0.11861062049865723,0.0
36,Genetic Algorithm,12,0.11844611167907715,0.0
37,Genetic Algorithm,12,0.11863064765930176,0.0625
38,Genetic Algorithm,12,0.11897826194763184,0.05859375
39,Genetic Algorithm,12,0.11883163452148438,0.0
40,Genetic Algorithm,12,0.11905431747436523,0.0
41,Genetic Algorithm,12,0.11858415603637695,0.0
42,Genetic Algorithm,12,0.11956787109375,0.0
43,Genetic Algorithm,12,0.11858630180358887,0.0
44,Genetic Algorithm,12,0.11862397193908691,0.0
45,Genetic Algorithm,13,0.11878347396850586,0.0
46,Genetic Algorithm,12,0.11871480941772461,0.0
47,Genetic Algorithm,12,0.11860799789428711,0.0
48,Genetic Algorithm,12,0.11807942390441895,0.0
49,Genetic Algorithm,12,0.11942505836486816,0.0
50,Genetic Algorithm,13,0.11910367012023926,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,10,0.14997577667236328,0.0
2,POP2 Algorithm,10,0.15199589729309082,0.0
3,POP2 Algorithm,10,0.1508641242980957,0.0
4,POP2 Algorithm,10,0.15101146697998047,0.0
5,POP2 Algorithm,10,0.1508936882019043,0.0
6,POP2 Algorithm,10,0.1507718563079834,0.0
7,POP2 Algorithm,10,0.1510155200958252,0.0
8,POP2 Algorithm,10,0.15054821968078613,0.0
9,POP2 Algorithm,10,0.14943575859069824,0.0
10,POP2 Algorithm,10,0.15019702911376953,0.0
11,POP2 Algorithm,10,0.1517181396484375,0.0
12,POP2 Algorithm,10,0.14935779571533203,0.0
13,POP2 Algorithm,10,0.15085768699645996,0.0
14,POP2 Algorithm,10,0.1505732536315918,0.0
15,POP2 Algorithm,10,0.15061640739440918,0.0
16,POP2 Algorithm,10,0.1515498161315918,0.0
17,POP2 Algorithm,10,0.14983820915222168,0.0
18,POP2 Algorithm,10,0.15074396133422852,0.0
19,POP2 Algorithm,10,0.1506519317626953,0.0
20,POP2 Algorithm,10,0.15323805809020996,0.0
21,POP2 Algorithm,10,0.14989304542541504,0.0
22,POP2 Algorithm,10,0.14937138557434082,0.0
23,POP2 Algorithm,10,0.15026402473449707,0.0
24,POP2 Algorithm,10,0.15042662620544434,0.0
25,POP2 Algorithm,10,0.15014123916625977,0.0
26,POP2 Algorithm,10,0.15075111389160156,0.0
27,POP2 Algorithm,10,0.1564314365386963,0.0
28,POP2 Algorithm,10,0.15087270736694336,0.0
29,POP2 Algorithm,10,0.15111422538757324,0.0
30,POP2 Algorithm,10,0.14966678619384766,0.0
31,POP2 Algorithm,10,0.15329456329345703,0.0
32,POP2 Algorithm,10,0.17462491989135742,0.0
33,POP2 Algorithm,10,0.15444231033325195,0.0
34,POP2 Algorithm,10,0.1568770408630371,0.0
35,POP2 Algorithm,10,0.14936423301696777,0.0
36,POP2 Algorithm,10,0.14970183372497559,0.0
37,POP2 Algorithm,10,0.15115761756896973,0.0
38,POP2 Algorithm,10,0.1506946086883545,0.0
39,POP2 Algorithm,10,0.15200519561767578,0.0
40,POP2 Algorithm,10,0.15060210227966309,0.0
41,POP2 Algorithm,10,0.14895057678222656,0.0
42,POP2 Algorithm,10,0.15059757232666016,0.0
43,POP2 Algorithm,10,0.14857745170593262,0.0
44,POP2 Algorithm,10,0.15042996406555176,0.0
45,POP2 Algorithm,10,0.15027999877929688,0.0
46,POP2 Algorithm,10,0.1505720615386963,0.0
47,POP2 Algorithm,10,0.14995288848876953,0.0
48,POP2 Algorithm,10,0.15100312232971191,0.0
49,POP2 Algorithm,10,0.15030336380004883,0.0
50,POP2 Algorithm,10,0.15147781372070312,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,13,0.00040793418884277344,0.0
Worst,Greedy Coloring,13,0.0007309913635253906,0.0
Best,DSATUR Coloring,11,0.006308078765869141,0.0
Worst,DSATUR Coloring,11,0.011003971099853516,0.0
Best,Genetic Algorithm,12,0.11800646781921387,0.0
Worst,Genetic Algorithm,13,0.11989140510559082,0.0
Best,POP2 Algorithm,10,0.14857745170593262,0.0
Worst,POP2 Algorithm,10,0.17462491989135742,0.0
Average,Greedy Coloring,13.0,0.0005,0.0
Average,DSATUR Coloring,11.0,0.0066,0.0
Average,Genetic Algorithm,12.22,0.1189,0.0044
Average,POP2 Algorithm,10.0,0.1514,0.0
End,File: DSJC250.1.col,---,---,---
Header,File: DSJC250.5.col,,,
1,Greedy Coloring,43,0.0015451908111572266,0.0
2,Greedy Coloring,43,0.0013566017150878906,0.0
3,Greedy Coloring,43,0.0014050006866455078,0.0
4,Greedy Coloring,43,0.0014600753784179688,0.0
5,Greedy Coloring,43,0.0014677047729492188,0.0
6,Greedy Coloring,43,0.0015110969543457031,0.0
7,Greedy Coloring,43,0.0013170242309570312,0.0
8,Greedy Coloring,43,0.0013682842254638672,0.0
9,Greedy Coloring,43,0.0014023780822753906,0.0
10,Greedy Coloring,43,0.0014226436614990234,0.0
11,Greedy Coloring,43,0.0014963150024414062,0.0
12,Greedy Coloring,43,0.0015261173248291016,0.0
13,Greedy Coloring,43,0.0015413761138916016,0.0
14,Greedy Coloring,43,0.001402139663696289,0.0
15,Greedy Coloring,43,0.0014064311981201172,0.0
16,Greedy Coloring,43,0.0014500617980957031,0.0
17,Greedy Coloring,43,0.0012688636779785156,0.0
18,Greedy Coloring,43,0.0014345645904541016,0.0
19,Greedy Coloring,43,0.001249551773071289,0.0
20,Greedy Coloring,43,0.0015151500701904297,0.0
21,Greedy Coloring,43,0.0015292167663574219,0.0
22,Greedy Coloring,43,0.0013804435729980469,0.0
23,Greedy Coloring,43,0.0013759136199951172,0.0
24,Greedy Coloring,43,0.0012583732604980469,0.0
25,Greedy Coloring,43,0.0014853477478027344,0.0
26,Greedy Coloring,43,0.0015616416931152344,0.0
27,Greedy Coloring,43,0.0013263225555419922,0.0
28,Greedy Coloring,43,0.0012469291687011719,0.0
29,Greedy Coloring,43,0.001224517822265625,0.0
30,Greedy Coloring,43,0.0012357234954833984,0.0
31,Greedy Coloring,43,0.0013747215270996094,0.0
32,Greedy Coloring,43,0.0014107227325439453,0.0
33,Greedy Coloring,43,0.0014638900756835938,0.0
34,Greedy Coloring,43,0.0015025138854980469,0.0
35,Greedy Coloring,43,0.0015306472778320312,0.0
36,Greedy Coloring,43,0.0013451576232910156,0.0
37,Greedy Coloring,43,0.0013659000396728516,0.0
38,Greedy Coloring,43,0.001226663589477539,0.0
39,Greedy Coloring,43,0.0013468265533447266,0.0
40,Greedy Coloring,43,0.0013620853424072266,0.0
41,Greedy Coloring,43,0.0014646053314208984,0.0
42,Greedy Coloring,43,0.0014700889587402344,0.0
43,Greedy Coloring,43,0.0014727115631103516,0.0
44,Greedy Coloring,43,0.001424551010131836,0.0
45,Greedy Coloring,43,0.0013539791107177734,0.0
46,Greedy Coloring,43,0.0015044212341308594,0.0
47,Greedy Coloring,43,0.001434326171875,0.0
